step,time_s,phase,wall_step_ms,outer_euler_residual_norm,inner_euler_residual_norm,euler_residual_norm_max,contact_current_error,contact_current_iterations,theta_beta_rad,theta_beta_deg,theta_tip_rad,theta_tip_deg,inner_interp_frame_0,inner_interp_frame_1,inner_interp_alpha,inner_to_outer_tip_distance_m,outer_tip_x_m,outer_tip_y_m,outer_tip_z_m,inner_pseudo_tip_x_m,inner_pseudo_tip_y_m,inner_pseudo_tip_z_m
26,0.13000000000000003,waiting,165.2070370000729,0.007397224512704669,0.12960129921402241,0.12960129921402241,2.0990595058905688e-05,501.0,0.0,0.0,0.0,0.0,299,300,1.0,0.0009831170029216709,0.16963329579129877,0.00475608582466554,0.0,0.16908300408523785,0.0055707624965263824,0.0
27,0.13500000000000004,waiting,171.44661900056235,0.007264505033882614,0.12408388776505647,0.12408388776505647,1.5594201622152273e-05,501.0,0.0,0.0,0.0,0.0,299,300,1.0,0.0009842900580944035,0.1696321193747999,0.004775461987850938,0.0,0.16907711153672347,0.00558835387373565,0.0
28,0.14000000000000004,waiting,172.65386100007163,0.007146117555665253,0.11877384324196111,0.11877384324196111,1.457174191653888e-05,501.0,0.0,0.0,0.0,0.0,299,300,1.0,0.0009853454364500854,0.16963100071183082,0.004793797922872417,0.0,0.16907202214110242,0.005605246372621043,0.0
29,0.14500000000000005,waiting,178.60719400050584,0.007039678860668091,0.11361428852799868,0.11361428852799868,1.4038232003582771e-05,501.0,0.0,0.0,0.0,0.0,299,300,1.0,0.0009862005818777094,0.16962993455741793,0.004811174089989864,0.0,0.16906773633719765,0.005621436238233931,0.0
30,0.15000000000000005,waiting,189.1192780003621,0.006948057990273461,0.10861034680726603,0.10861034680726603,1.4054141134076392e-05,501.0,0.0,0.0,0.0,0.0,299,300,1.0,0.0009869054912797419,0.16962891841291192,0.004827670328941547,0.0,0.16906384746675657,0.0056367916267265,0.0
31,0.15500000000000005,waiting,200.13945000027888,0.0068725423651176225,0.10379595121418972,0.10379595121418972,1.9726092364490053e-05,501.0,0.0,0.0,0.0,0.0,299,300,1.0,0.0009875668627405516,0.1696279491747567,0.004843343389946679,0.0,0.16906013966425146,0.005651353704338149,0.0
32,0.16000000000000006,waiting,226.65562700058217,0.006811291251188647,0.09918321245584913,0.09918321245584913,1.3914201194199819e-05,501.0,0.0,0.0,0.0,0.0,299,300,1.0,0.000988191564224712,0.16962702373283153,0.004858244140111398,0.0,0.16905662271860122,0.005665192249081186,0.0
33,0.16500000000000006,waiting,240.3601419991901,0.006762027694984273,0.09476772718502825,0.09476772718502825,1.295425830914062e-05,501.0,0.0,0.0,0.0,0.0,299,300,1.0,0.0009888019069370193,0.16962614346893418,0.004872389716784764,0.0,0.16905324481685022,0.005678315486072897,0.0
34,0.17000000000000007,waiting,242.95428700133925,0.0067243180421962985,0.09054356425991461,0.09054356425991461,1.7509254307202898e-05,501.0,0.0,0.0,0.0,0.0,299,300,1.0,0.000989390187140375,0.16962530498912815,0.004885819571203243,0.0,0.16905002229905292,0.005690768494371337,0.0
35,0.17500000000000007,waiting,251.887844000521,0.006698046648696212,0.08650354892784737,0.08650354892784737,2.1267212809087933e-05,501.0,0.0,0.0,0.0,0.0,299,300,1.0,0.000989972010217687,0.1696245075230405,0.004898562867022633,0.0,0.16904691893907,0.005702575310136171,0.0
36,0.18000000000000008,waiting,288.59808199922554,0.006679443486781486,0.0826422091782068,0.0826422091782068,2.01205659822752e-05,501.0,0.0,0.0,0.0,0.0,299,300,1.0,0.0009905210591784278,0.1696237488820467,0.004910643836247399,0.0,0.1690440330471311,0.005713801055865104,0.0
37,0.18500000000000008,waiting,313.08721900131786,0.006668310446243085,0.07894756556381112,0.07894756556381112,1.9520292247968138e-05,501.0,0.0,0.0,0.0,0.0,299,300,1.0,0.0009910228103916226,0.16962302653117955,0.00492212984269601,0.0,0.16904136627697905,0.005724499806864606,0.0
38,0.19000000000000009,waiting,399.33028899940837,0.006664678535375445,0.07541345729381167,0.07541345729381167,1.90660165840903e-05,501.0,0.0,0.0,0.0,0.0,299,300,1.0,0.0009914873027240334,0.1696223389085824,0.004933039164965965,0.0,0.1690388370192454,0.00573464543777273,0.0
39,0.1950000000000001,waiting,408.87918599946715,0.006667589624264295,0.07203673022402912,0.07203673022402912,1.8706692493321373e-05,501.0,0.0,0.0,0.0,0.0,299,300,1.0,0.0009919324101189432,0.16962168462058663,0.004943394758722609,0.0,0.1690364322498571,0.0057442752546768,0.0
40,0.2000000000000001,waiting,389.66513400009717,0.006676843957700874,0.068811746293112,0.068811746293112,1.8518523228154337e-05,501.0,0.0,0.0,0.0,0.0,299,300,1.0,0.0009923610522365272,0.16962106225806065,0.00495322421035321,0.0,0.1690341395104685,0.005753413029542078,0.0
41,0.2050000000000001,waiting,398.8221780000458,0.006692101568190415,0.06573273747171757,0.06573273747171757,2.21079033685877e-05,501.0,0.0,0.0,0.0,0.0,299,300,1.0,0.000992772584309415,0.1696204700766699,0.004962551375506914,0.0,0.1690319572972964,0.00576208255855763,0.0
42,0.2100000000000001,waiting,408.61647999918205,0.006712376044570425,0.06279387845871749,0.06279387845871749,2.2010912148153187e-05,501.0,0.0,0.0,0.0,0.0,299,300,1.0,0.0009931642034277349,0.16961990664482868,0.004971408204352215,0.0,0.1690298867561793,0.005770314748303651,0.0
43,0.2150000000000001,waiting,389.2481319999206,0.0067373588228293955,0.059989333586457055,0.059989333586457055,2.1985677246495497e-05,501.0,0.0,0.0,0.0,0.0,299,300,1.0,0.0009935375605098118,0.1696193708963477,0.004979813866031831,0.0,0.16902791874460849,0.00577812535683403,0.0
44,0.2200000000000001,waiting,373.27870599983726,0.006766662764439932,0.05731371525871024,0.05731371525871024,2.2018932001979016e-05,501.0,0.0,0.0,0.0,0.0,299,300,1.0,0.0009938943118323353,0.16961886147033123,0.0049877910653678215,0.0,0.1690260478745058,0.005785536603554789,0.0
45,0.22500000000000012,waiting,396.7076650005765,0.0067998664765508195,0.05476179467564908,0.05476179467564908,2.2098605701886573e-05,501.0,0.0,0.0,0.0,0.0,299,300,1.0,0.000994235063948355,0.16961837707059765,0.004995362135940274,0.0,0.1690242692530523,0.005792569300682221,0.0
46,0.23000000000000012,waiting,407.7122420003434,0.006836518144037272,0.05232850930638348,0.05232850930638348,2.2213910820168777e-05,501.0,0.0,0.0,0.0,0.0,299,300,1.0,0.0009945604746118392,0.16961791646659902,0.00500254830379689,0.0,0.16902257824437836,0.005799243313711771,0.0
